Date,Not indexed,Indexed,Impressions
2025-10-16,,,0
2025-10-17,0,1,1
2025-10-18,0,1,0
2025-10-19,0,1,5
2025-10-20,0,1,0
2025-10-21,0,1,0
2025-10-22,0,1,1
2025-10-23,0,1,1
2025-10-24,0,1,0
2025-10-25,0,1,0
2025-10-26,0,1,2
2025-10-27,0,1,2
2025-10-28,0,1,0
2025-10-29,0,1,2
2025-10-30,0,1,2
2025-10-31,0,1,0
2025-11-01,0,1,1
2025-11-02,0,1,2
2025-11-03,0,1,0
2025-11-04,0,1,0
2025-11-05,0,1,1
2025-11-06,0,1,1
2025-11-07,0,1,1
2025-11-08,0,1,0
2025-11-09,0,1,1
2025-11-10,0,1,1
2025-11-11,0,1,1
2025-11-12,0,1,1
2025-11-13,0,1,1
2025-11-14,0,1,1
2025-11-15,0,1,1
2025-11-16,0,1,1
2025-11-17,0,1,0
