Date,Clicks,Impressions,CTR,Position
2025-11-27,1,3,33.33%,4
2025-11-26,0,2,0%,5
2025-11-25,0,5,0%,2.8
2025-11-24,0,2,0%,5.5
2025-11-23,0,4,0%,20.75
2025-11-22,0,0,0%,0
2025-11-21,0,2,0%,8
2025-11-20,0,1,0%,6
2025-11-19,0,6,0%,3.5
2025-11-18,0,0,0%,0
2025-11-17,1,1,100%,4
2025-11-16,0,1,0%,7
2025-11-15,0,1,0%,7
2025-11-14,0,1,0%,4
2025-11-13,0,1,0%,10
2025-11-12,0,1,0%,4
2025-11-11,1,1,100%,2
2025-11-10,0,1,0%,2
2025-11-09,0,0,0%,0
2025-11-08,0,1,0%,4
2025-11-07,0,1,0%,2
2025-11-06,0,1,0%,2
2025-11-05,0,0,0%,0
2025-11-04,0,0,0%,0
2025-11-03,0,2,0%,21
2025-11-02,0,1,0%,2
2025-11-01,0,0,0%,0
2025-10-31,0,2,0%,3
